feature,importance_gain
current_status_code,276711.8984375
ltv_ordinal,143084.39965820312
loan_age_months,79668.14694213867
dti_ordinal,67833.30078125
orig_year,55734.24072265625
seasoning_ratio,15791.599609375
state_freq,1835.239990234375
credit_score_is_missing,1718.3499755859375
property_type_freq,1248.3900146484375
balance_change_1m_pct,1134.9990615844727
balance_to_orig_ratio,129.58799743652344
document_status_freq,0.0
occupancy_type_freq,0.0
source_system_freq,0.0
loan_purpose_freq,0.0
servicer_name_freq,0.0
ever_delinquent_past,0.0
is_currently_delinquent,0.0
balance_change_3m_pct,0.0
dpd_roll_max_3m,0.0
dpd_roll_mean_6m,0.0
dpd_roll_max_6m,0.0
remaining_term_months,0.0
rate_to_market_spread,0.0
modification_flag,0.0
days_past_due,0.0
credit_score_ordinal,0.0
interest_rate_is_missing,0.0
interest_rate_imputed,0.0
current_balance,0.0
original_balance,0.0
is_legacy_vintage,0.0
