feature,importance_gain
loan_age_months,163123.3214111328
current_status_code,133785.7001953125
credit_score_is_missing,48487.13916015625
original_balance,21910.099731445312
state_freq,12021.3701171875
interest_rate_imputed,9868.2802734375
balance_to_orig_ratio,4491.66015625
ltv_ordinal,3642.9598388671875
dpd_roll_max_6m,3268.6298828125
property_type_freq,3147.1201171875
orig_year,2899.7099609375
rate_to_market_spread,2525.389892578125
dti_ordinal,1394.3900146484375
is_currently_delinquent,0.0
occupancy_type_freq,0.0
loan_purpose_freq,0.0
servicer_name_freq,0.0
document_status_freq,0.0
source_system_freq,0.0
ever_delinquent_past,0.0
dpd_roll_max_3m,0.0
balance_change_3m_pct,0.0
balance_change_1m_pct,0.0
dpd_roll_mean_6m,0.0
remaining_term_months,0.0
seasoning_ratio,0.0
modification_flag,0.0
days_past_due,0.0
credit_score_ordinal,0.0
interest_rate_is_missing,0.0
current_balance,0.0
is_legacy_vintage,0.0
