feature,importance_gain
current_status_code,895367.5808290076
credit_score_ordinal,132255.19291599063
ltv_ordinal,50014.48220331529
is_currently_delinquent,33743.74595091443
dti_ordinal,33497.88022547132
days_past_due,21700.193097999523
orig_year,14813.240895357729
loan_age_months,10731.387600183487
credit_score_is_missing,7905.926724433899
state_freq,5639.316805362701
current_balance,3925.9634573459625
interest_rate_imputed,3756.813581943512
original_balance,3508.830246552825
dpd_roll_max_3m,3190.395300443938
dpd_roll_mean_6m,3077.036692042724
seasoning_ratio,3039.6383533477783
balance_to_orig_ratio,2989.3643027142407
rate_to_market_spread,2958.2046341896057
dpd_roll_max_6m,2362.8315019607544
balance_change_3m_pct,2233.2081705331802
balance_change_1m_pct,1493.0492750093592
loan_purpose_freq,1356.4383735656738
remaining_term_months,1238.8631247227368
servicer_name_freq,940.8860304355621
property_type_freq,891.338397026062
document_status_freq,722.0981522798538
occupancy_type_freq,500.74217200279236
is_legacy_vintage,427.09132528305054
interest_rate_is_missing,303.63825035095215
source_system_freq,129.80199909210205
modification_flag,120.01040124893188
ever_delinquent_past,89.44899171590805
